time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2015-10-30T04:45:42.220Z,-10.0488,-75.1891,68.86,4.3,mb,,146,3.366,0.84,us,us200040n3,2015-10-30T05:39:18.302Z,"62km NNE of Oxapampa, Peru",earthquake
2015-10-30T04:37:02.410Z,37.1512,-97.6095,5,3.7,mb_lg,,50,0.016,0.38,us,us200040mu,2015-10-30T05:44:57.267Z,"13km N of Caldwell, Kansas",earthquake
2015-10-30T04:15:59.000Z,19.2465,-64.8653,24,3.3,Md,8,298.8,0.8578911,0.18,pr,pr15303002,2015-10-30T04:37:18.351Z,"95km NNW of Road Town, British Virgin Islands",earthquake
2015-10-30T03:26:45.920Z,-60.8264,-51.2056,10,4.8,mb,,81,3.84,0.68,us,us200040mi,2015-10-30T03:46:01.244Z,"Scotia Sea",earthquake
2015-10-30T03:18:42.100Z,-60.9627,-51.407,10,5.1,mb,,71,3.694,0.51,us,us200040mh,2015-10-30T03:38:04.446Z,"Scotia Sea",earthquake
2015-10-30T02:54:39.700Z,19.1648,-64.4927,38,2.7,Md,4,331.2,0.91897654,0.3,pr,pr15303000,2015-10-30T04:24:59.524Z,"83km N of Road Town, British Virgin Islands",earthquake
2015-10-30T02:40:47.500Z,19.139,-64.6958,54,2.9,Md,3,342,0.99623165,0.58,pr,pr15303001,2015-10-30T04:25:39.732Z,"80km N of Road Town, British Virgin Islands",earthquake
2015-10-30T02:19:38.870Z,-14.8923,49.9584,10,4.7,mb,,95,7.737,1.24,us,us200040me,2015-10-30T02:46:56.513Z,"34km W of Antalaha, Madagascar",earthquake
2015-10-30T01:59:02.110Z,0.972,97.485,30.62,4.8,mb,,137,0.341,0.8,us,us200040mb,2015-10-30T02:24:34.965Z,"167km WSW of Sibolga, Indonesia",earthquake
2015-10-30T01:16:18.730Z,19.4235001,-155.613327,2.61,2.72,ml,47,66,0.02465,0.32,hv,hv61083091,2015-10-30T01:22:40.899Z,"26km E of Honaunau-Napoopoo, Hawaii",earthquake
2015-10-29T23:43:29.799Z,41.8376,-119.6454,11,3,ml,8,75.7,0.162,0.1635,nn,nn00517059,2015-10-30T04:47:07.990Z,"54km ESE of Lakeview, Oregon",earthquake
2015-10-29T23:17:21.400Z,18.2133,-67.8539,121,3,Md,8,316.8,0.39436041,0.37,pr,pr15302012,2015-10-30T04:23:41.560Z,"65km WSW of Rincon, Puerto Rico",earthquake
2015-10-29T22:53:18.400Z,19.0097,-64.3803,50,2.9,Md,4,345.6,1.10402948,0.07,pr,pr15302011,2015-10-30T00:36:59.813Z,"70km NNE of Road Town, British Virgin Islands",earthquake
2015-10-29T22:40:25.120Z,6.8306,-73.1006,147.09,4.6,mb,,45,0.931,0.65,us,us200040ls,2015-10-30T00:16:46.468Z,"17km NNW of Aratoca, Colombia",earthquake
2015-10-29T22:24:39.420Z,32.8439,-96.9121,8.48,2.5,mb_lg,,77,0.014,0.4,us,us200040lc,2015-10-30T01:48:00.608Z,"4km NE of Irving, Texas",earthquake
2015-10-29T22:15:56.450Z,24.7291,92.5073,35.01,4.8,mb,,84,1.021,0.63,us,us200040l5,2015-10-30T04:11:06.048Z,"7km NW of Hailakandi, India",earthquake
2015-10-29T20:12:28.000Z,57.6174,-155.7218,72.6,2.8,ml,,,,0.71,ak,ak11758469,2015-10-30T04:15:05.127Z,"104km W of Larsen Bay, Alaska",earthquake
2015-10-29T18:55:28.480Z,37.3911,-2.1661,4.25,3.2,mb_lg,,191,0.947,0.6,us,us200040kb,2015-10-29T21:03:22.757Z,"1km W of Albox, Spain",earthquake
2015-10-29T17:45:39.000Z,63.221,-150.4013,100,2.5,ml,,,,0.74,ak,ak11758439,2015-10-30T01:48:08.333Z,"75km WSW of Cantwell, Alaska",earthquake
2015-10-29T17:00:15.000Z,62.0114,-147.3533,23.2,3.8,ml,,,,0.66,ak,ak11758307,2015-10-30T01:02:48.821Z,"82km ENE of Sutton-Alpine, Alaska",earthquake
2015-10-29T16:47:40.216Z,41.9025,-119.6002,8.3,3.9,ml,8,101.86,0.152,0.1297,nn,nn00516895,2015-10-29T23:53:25.887Z,"72km ESE of Lakeview, Oregon",earthquake
2015-10-29T16:20:13.500Z,-31.819,-72.3763,10,4.7,mb,,81,1.306,1.13,us,us200040gz,2015-10-30T00:22:57.961Z,"116km W of Illapel, Chile",earthquake
2015-10-29T15:48:21.360Z,32.0633,56.1526,15.25,4.4,mb,,87,5.605,1,us,us200040gw,2015-10-29T23:50:52.852Z,"86km NE of Bafq, Iran",earthquake
2015-10-29T15:45:32.080Z,35.833168,-120.6053314,10.55,3.29,ml,78,23,0.03452,0.09,nc,nc72545730,2015-10-30T04:28:22.638Z,"12km NE of San Miguel, California",earthquake
2015-10-29T15:16:45.000Z,57.6494,-154.3489,17.1,2.9,ml,,,,0.68,ak,ak11758190,2015-10-29T23:19:22.041Z,"25km WNW of Larsen Bay, Alaska",earthquake
2015-10-29T14:27:59.200Z,1.4426,-102.2271,10,4.6,mb,,212,16.419,0.71,us,us200040gb,2015-10-29T22:30:37.535Z,"Galapagos Triple Junction region",earthquake
2015-10-29T14:19:26.200Z,19.3766,-64.7395,24,3.2,Md,4,324,1.03845247,0.28,pr,pr15302010,2015-10-29T22:22:13.200Z,"107km N of Road Town, British Virgin Islands",earthquake
2015-10-29T14:16:25.400Z,19.3173,-64.7273,46,3.3,Md,4,324,0.98365524,0.18,pr,pr15302009,2015-10-29T22:18:53.312Z,"100km N of Road Town, British Virgin Islands",earthquake
2015-10-29T13:50:27.600Z,19.1732,-64.721,45,2.6,Md,3,338.4,1.01150301,0.02,pr,pr15302008,2015-10-29T21:52:59.329Z,"84km N of Road Town, British Virgin Islands",earthquake
2015-10-29T13:49:16.800Z,19.2838,-64.8375,48,3.1,Md,4,320.4,0.93334958,0.11,pr,pr15302007,2015-10-29T21:51:54.422Z,"98km NNW of Road Town, British Virgin Islands",earthquake
2015-10-29T12:41:11.020Z,37.7766685,-121.9678345,8.64,2.57,md,51,51,0.08435,0.09,nc,nc72545705,2015-10-30T05:43:49.423Z,"0km ESE of San Ramon, California",earthquake
2015-10-29T11:59:57.400Z,18.721,-66.081,36,2.6,Md,7,234,0.48958183,0.2,pr,pr15302006,2015-10-29T20:02:29.690Z,"28km N of San Juan, Puerto Rico",earthquake
2015-10-29T10:20:28.530Z,-8.6532,109.7485,61.81,4.8,mb,,48,1.062,1.17,us,us200040e3,2015-10-29T11:03:00.431Z,"96km SW of Srandakan, Indonesia",earthquake
2015-10-29T09:46:41.980Z,39.1474,43.8447,9.69,4.8,mb,,54,1.215,1.38,us,us200040e1,2015-10-29T17:49:23.898Z,"5km W of Caldiran, Turkey",earthquake
2015-10-29T06:34:48.490Z,-34.6764,-71.8276,40.11,4.1,mwr,,84,0.343,0.74,us,us200040dv,2015-10-29T14:37:39.009Z,"42km W of Santa Cruz, Chile",earthquake
2015-10-29T05:43:35.520Z,36.421,-97.3408,4.99,3,mb_lg,,53,0.353,0.41,us,us200040dn,2015-10-29T12:30:59.083Z,"15km NNW of Perry, Oklahoma",earthquake
2015-10-29T05:38:13.000Z,58.3958,-153.9724,39.7,2.8,ml,,,,0.83,ak,ak11757361,2015-10-29T13:40:43.368Z,"95km N of Larsen Bay, Alaska",earthquake
2015-10-29T05:26:56.910Z,36.1378,-97.3032,5.69,3.1,mb_lg,,59,0.362,0.62,us,us200040dl,2015-10-29T13:51:15.679Z,"16km S of Perry, Oklahoma",earthquake
2015-10-29T05:14:57.070Z,5.3611,126.5426,100.82,4.4,mb,,102,1.949,0.75,us,us200040dk,2015-10-29T13:17:40.314Z,"117km ESE of Caburan, Philippines",earthquake
2015-10-29T04:35:40.830Z,46.4861667,-122.308,21.401,3.24,ml,62,31,0.08084,0.16,uw,uw61084992,2015-10-30T05:07:05.067Z,"8km SSW of Morton, Washington",earthquake
2015-10-29T04:02:49.690Z,-10.415,-76.5377,126.97,4.3,mb,,196,4.63,0.96,us,us200040dc,2015-10-29T19:49:14.998Z,"2km NNW of Chaupimarca, Peru",earthquake
2015-10-29T03:06:01.000Z,62.8041,-148.8431,55.5,2.8,ml,,,,0.62,ak,ak11757177,2015-10-29T03:52:42.479Z,"65km S of Cantwell, Alaska",earthquake
2015-10-29T02:49:28.120Z,51.8172,178.5144,87.59,5.6,mb,,49,0.659,0.92,us,us200040d5,2015-10-29T16:06:56.000Z,"14km S of Little Sitkin Island, Alaska",earthquake
2015-10-29T02:30:05.600Z,19.2084,-64.6351,24,3.1,Md,6,306,0.78692419,0.28,pr,pr15302004,2015-10-29T10:32:34.391Z,"87km N of Road Town, British Virgin Islands",earthquake
2015-10-29T01:48:24.500Z,19.1984,-68.4365,157,3.7,Md,6,327.6,1.44898255,0.25,pr,pr15302002,2015-10-29T09:50:52.405Z,"65km NNE of Otra Banda, Dominican Republic",earthquake
2015-10-29T01:46:53.410Z,40.7991676,-123.972168,23.95,3.35,ml,30,72,0.04723,0.07,nc,nc72545480,2015-10-29T23:38:45.207Z,"9km ESE of Bayside, California",earthquake
2015-10-29T01:20:47.460Z,35.8749,-97.365,8.62,3.3,mb_lg,,36,0.107,0.44,us,us200040cw,2015-10-29T14:35:44.334Z,"5km E of Guthrie, Oklahoma",earthquake
2015-10-29T00:37:45.900Z,42.2085,3.149,5.26,3.8,mb,,75,3.231,1.34,us,us200040cq,2015-10-29T22:23:29.165Z,"4km SSE of Empuriabrava, Spain",earthquake
2015-10-29T00:34:22.890Z,6.8268,-73.0259,154.36,4.4,mb,,37,0.929,1.37,us,us200040cm,2015-10-29T08:37:01.007Z,"14km N of Aratoca, Colombia",earthquake
2015-10-29T00:05:46.150Z,32.9546667,-115.7371667,11.2,3.08,ml,56,54,0.05359,0.26,ci,ci37265103,2015-10-29T08:08:25.696Z,"14km SW of Westmorland, California",earthquake
2015-10-29T00:00:43.350Z,37.1175,-97.6223333,4.38,2.55,ml,20,77,0.01887,0.06,ismpkansas,ismpkansas70148273,2015-10-29T23:33:50.334Z,"9km N of Caldwell, Kansas",earthquake
2015-10-28T23:26:26.660Z,36.5257,70.3173,201.27,4.3,mb,,71,0.633,0.56,us,us200040cc,2015-10-29T07:28:59.694Z,"41km E of Farkhar, Afghanistan",earthquake
2015-10-28T22:02:45.130Z,-0.181,123.0249,98.37,4.6,mb,,59,0.891,0.84,us,us200040by,2015-10-29T06:05:21.512Z,"65km SSW of Bilungala, Indonesia",earthquake
2015-10-28T21:32:30.000Z,63.4323,-151.3381,12.7,3.3,ml,,,,0.66,ak,ak11756848,2015-10-29T00:06:32.484Z,"119km W of Cantwell, Alaska",earthquake
2015-10-28T20:46:41.640Z,-10.9806,166.3753,151.9,5.8,mwb,,24,4.512,1.02,us,us200040b8,2015-10-29T09:32:46.040Z,"66km ESE of Lata, Solomon Islands",earthquake
2015-10-28T20:42:15.540Z,43.0498333,-74.3781667,6.13,2.5,ml,30,32,0.3532,0.34,ld,ld60104306,2015-10-30T01:09:37.424Z,"3km NW of Johnstown, New York",earthquake
2015-10-28T19:21:40.500Z,18.3122,-67.3462,4,2.6,Md,5,270,0.27129122,0.15,pr,pr15301003,2015-10-29T03:25:42.304Z,"10km WSW of Rincon, Puerto Rico",earthquake
2015-10-28T17:05:31.000Z,60.1226,-153.255,100,2.7,ml,,,,0.95,ak,ak11756637,2015-10-29T00:06:10.858Z,"49km SW of Redoubt Volcano, Alaska",earthquake
2015-10-28T16:20:02.040Z,40.81,27.76,10,4.4,mwr,,,,0.77,us,us2000408w,2015-10-28T21:44:37.049Z,"24km SW of Marmaraereglisi, Turkey",earthquake
